"Nom","Adresse 1","Adresse 2","Code postal","Ville","T้l้phone 1","T้l้phone 2","Fax","NAF","SIRET","Effectif","Email","Responsable","Activit้"
"LA MAISON DE MAI","","27 RUE CHABROL","75010","PARIS","0953816997","","","1623Z","53414635200032","0","","OZTURK LUTFI","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"ARTPENTE","","LIEU DIT LE SERRE","05230","PRUNIERES","0659176610","","","4391A","75292835800023","Inconnu","","RHODES JOSEPH","TRAVAUX DE CHARPENTE"
"QUAGLIA SYLVAIN","","18 ALLEE METALLOS","06700","ST LAURENT DU VAR","0492121292","","0493146356","1623Z","41239379500015","3 เ 5","","QUAGLIA SYLVAIN","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"CATTAI EBENISTE MENUISIER AGENCEUR","","89 AVENUE GEN DE GAULLE","94160","ST MANDE","0672293540","","","1623Z","80396086300014","0","","CATTAI GIORGIO","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"FAURE DOMINIQUE","","ZA LES COURS","05480","VILLAR D'ARENE","0685522347","","","1623Z","32949354800013","1 เ 2","","FAURE DOMINIQUE","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"LAURENT BLANC","","LIEU DIT BELLIET","05350","ARVIEUX","0665119210","","","4391A","80427785300011","Inconnu","","BLANC LAURENT","TRAVAUX DE CHARPENTE"
"ARTISAN COUVREUR CHARPENTIER","","CHEMIN VEUFS","13112","LA DESTROUSSE","0695231203","","","4391A","82047534100021","0","","EMO MARC","TRAVAUX DE CHARPENTE"
"SYSTEM'BOIS CONCEPT","","17 AVENUE 15 PONTS","16120","CHATEAUNEUF SUR CHARENTE","0545662409","","","4391A","35184680300010","10 เ 19","systemboisvincent@orange.fr","","TRAVAUX DE CHARPENTE"
"SICAB","","LOTISSEMENT CARA MEZZAVIA RTE CALVI","20000","AJACCIO","0495232234","0609950208","0495209395","1623Z","4712009200011","20 เ 49","","DUJARDIN  GILLES","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"AGM","","1425 ROUTE LOUIS PASTEUR","26300","CHATUZANGE LE GOUBET","0475471741","0619372503","","1623Z","87920136600017","Inconnu","","LAGRANGE DELPHINE","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"HARMONIE BOIS HABITAT","","80 RUE GEN MANGIN","29400","LANDIVISIAU","0298247304","0626780651","","4391A","82269027700014","3 เ 5","","JAILLET MICHAEL","TRAVAUX DE CHARPENTE"
"PBM IMMO CONCEPT","","9 AVENUE BERLINCAN","33160","ST MEDARD EN JALLES","0556058787","","0556959550","4391A","43290135300024","3 เ 5","","BARDURY LOUIS-GEORGES","TRAVAUX DE CHARPENTE"
"MENUISERIE VEA","","225 RUE FONTACE","34370","MARAUSSAN","0614123851","","","1623Z","48920394300019","1 เ 2","","VEA JEAN","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"OLIVEIRA MATHIEU","","380 BOULEVARD LAMOTHE","40350","POUILLON","0637136918","","","4391A","85108227100012","Inconnu","","OLIVEIRA MATHIEU","TRAVAUX DE CHARPENTE"
"LCCB LEBOUCHER CHARPENTE CONCEPT BOIS","","52 RUE PEPINIERE","44880","SAUTRON","0251718217","","0240638857","4391A","48386410400011","10 เ 19","","CANCOUET JEAN-LUC","TRAVAUX DE CHARPENTE"
"BONDU MENUISERIE","","9 RUE VENDEE BOURGNEUF EN MAUGES","49290","MAUGES SUR LOIRE","0241782741","0685657338","","1623Z","41970866400018","3 เ 5","","BIEN JEREMY","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"STE NOUVELLE DE CONST ET DE MENUISERIE BONJEAN","","16 ROUTE BORDEAUX","63870","ORCINES","0473621044","","","1623Z","41297004800010","6 เ 9","","LEBRE CHRISTOPHE","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"CHARPENTE LIBERALE","PARC ACTIVITES LA DEVEZE","14 RUE ALFRED SAUVY","66450","POLLESTRES","0468565478","","0468850186","1623Z","38325801900025","6 เ 9","","LIBERALE PATRICK","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"AGENCEMENT MENUISERIE BRESSANNE","","445 ROUTE PINS","71470","STE CROIX","0385746869","","0385746870","1623Z","40945427900020","6 เ 9","amb.agencement@orange.fr","BON PHILIPPE","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"GRIVEAU PHILIPPE","","32 AVENUE PELOUSE","72360","MAYET","0243792146","0613289411","","1623Z","47828204900012","1 เ 2","","GRIVEAU PHILIPPE","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"STYDIR","","7 ALLEE ROUSSELETS","77400","THORIGNY SUR MARNE","","","0160930127","1623Z","32392458900027","6 เ 9","","VIDONI ROMAIN","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"BDF MENUISERIE","","9 RUE ALPHONSE DAUDET","82000","MONTAUBAN","0563033590","","0563204774","1623Z","43943735100018","6 เ 9","","DE FAVERI BRUNO","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"LSB LA SALLE BLANCHE","","ZAC LA PEYROLIERE","84400","APT","0490047141","","","1623Z","32667668100025","20 เ 49","info@lasalleblanche.com","","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"VANGILVE AGENCEMENT","LA VOIVRE","23 ALLEE CHENES","88000","EPINAL","0329343654","","0329319694","1623Z","37981699400014","6 เ 9","contact@vangilve.com","RINDERNECK MARC","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"PROEFFICIENT SARL","","31 PARC DU GOLF","13100","AIX EN PROVENCE","0674394488","","","4391A","88530565600013","Inconnu","","CELIK SERAP","TRAVAUX DE CHARPENTE"
"TECHTRONIC FR","","2010 ROUTE BEUZEVILLE","27210","BOULLEVILLE","0277186388","","","4391A","80370988000014","0","","FERON STEPHANE","TRAVAUX DE CHARPENTE"
"EYRAUD LAURENT","","LE VILLAGE","05500","ST LAURENT DU CROS","0492561159","","","4391A","50277395500013","6 เ 9","","EYRAUD LAURENT","TRAVAUX DE CHARPENTE"
"FRIGEL BORDEAUX","","RUE FERDINAND DE LESSEPS","33610","CANEJAN","0557357271","","","4391A","40211105800028","6 เ 9","","BORDIS ERIC  MARCEL","TRAVAUX DE CHARPENTE"
"ALU INDUSTRIE COTE D'OR","","8 Bis RUE JOSEPH JACQUARD","21300","CHENOVE","0380600500","","","1623Z","7534580090002","3 เ 5","","","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"LOIRE ET MAUGES","","MONTJEAN SUR LOIRE LIEU DIT ROYAUTE","49570","MAUGES SUR LOIRE","0241390574","","","4391A","80469194700035","3 เ 5","","BOURRIGAULT LUDOVIC","TRAVAUX DE CHARPENTE"
"ESPACE CONCEPT BOIS","","84 CHEMIN MAS BROCHET","01700","BEYNOST","0472882776","","","4391A","48039956700027","1 เ 2","contact@espace-concept-bois.com","DOS SANTOS DAVID","TRAVAUX DE CHARPENTE"
"LES CHARPENTES DU VALROMEY","","517 VOIE TRAM","01260","SUTRIEU","0479870533","0638420886","","4391A","79370986600016","1 เ 2","","BRASSART FABIEN","TRAVAUX DE CHARPENTE"
"2AE","","23 RUE HORDRET","02100","ST QUENTIN","0618894650","","","1623Z","79498546500028","1 เ 2","contact.2ae@icloud.com","FLAMME ALEXANDRE","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"CAP COMBLES","","46 ROUTE NATIONALE","02260","LA FLAMENGRIE","0323973697","","0323978029","4391A","37914415700011","20 เ 49","","CAPLAIN CHRISTOPHE","TRAVAUX DE CHARPENTE"
"SL CREATEK","","22 Bis AVENUE BOURSONNE","02600","VILLERS COTTERETS","0323967601","0766847342","","1623Z","84472903800027","Inconnu","","RUGALA SANDRINE","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"CONFORM TOITURE","","10 RUE FRANCIS VICO","03100","MONTLUCON","0972663363","0656835837","","4391A","83959998200023","Inconnu","","DEMASSE CHARLES","TRAVAUX DE CHARPENTE"
"LABEYRIE LOUIS","ZA GAMBADES","138 RUE DE L'ARTISANAT","03340","NEUILLY LE REAL","0470438427","","","4391A","38963787700025","3 เ 5","louis.labeyrie@wanadoo.fr","BONNEAU PHILIPPE","TRAVAUX DE CHARPENTE"
"CHARPENTE CONCEPT RENOVATION","","17 ALLEE GENETS","04200","SISTERON","0492615581","0680674010","","4391A","43297335200045","0","ccr.bureau@orange.fr","MINETTO CHRISTOPHE","TRAVAUX DE CHARPENTE"
"FERAUD ET FILS","","LA BASTIDE LE PLANAS","04380","THOARD","0492348406","","0492348965","4391A","42396793400039","3 เ 5","","FERAUD CLAUDE","TRAVAUX DE CHARPENTE"
"ALG CHARPENTE","","60 AVENUE NICE","06800","CAGNES SUR MER","0492136751","","","1623Z","84830619700015","Inconnu","","BOSDURE MATHIEU","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"CHARPENTE ET CREATION","","190 CHEMIN FRAYERE","06530","PEYMEINADE","0493361625","","","4391A","53032545500018","6 เ 9","","DERUAZ PHILIPPE","TRAVAUX DE CHARPENTE"
"TOIT ET BOIS","INDUSTRIELLE STE MARGUERITE","107 ROUTE PLAN","06130","GRASSE","0670297252","","","4391A","50273894100025","Inconnu","","LASCH JEROME","TRAVAUX DE CHARPENTE"
"BUIRET FRANCK","","QUARTIER LA MOUTTE","07220","VIVIERS","0475498530","","","4391A","42112644200019","1 เ 2","","BUIRET FRANCK","TRAVAUX DE CHARPENTE"
"ESPACE COMBLES AMENAGEMENTS","","76 RUE EUGENE FRERE","08130","ATTIGNY","0672927982","","","4391A","43231969700020","1 เ 2","","SALINGUE DANIELE","TRAVAUX DE CHARPENTE"
"ATELIERS VALENTIN BOUVET","","4 CHEMIN GRANDE HAIE","10270","COURTERANGES","0325806179","","","4391A","40161840000022","10 เ 19","contact@ateliersvalentin.fr","VALENTIN VALERIE","TRAVAUX DE CHARPENTE"
"MARTRY CHRISTOPHE","","18 RUE ETANG","10200","SAULCY","0325274675","","","4391A","52364952300017","Inconnu","","MARTRY CHRISTOPHE","TRAVAUX DE CHARPENTE"
"CONSTANS ROMAIN","","GARLASSAC","12450","LUC","0565697654","","","4391A","45127233000015","0","","CONSTANS ROMAIN","TRAVAUX DE CHARPENTE"
"MARTIN CHARPENTE","","40 CHEMIN PARETTE","13012","MARSEILLE","0496124453","","0496124457","4391A","42475749000018","3 เ 5","eddy.martin.pro@gmail.com","MARTIN EDDY","TRAVAUX DE CHARPENTE"
"ENTREPRISE BANVILLE","ZI","BOULEVARD EUROPE","14540","BOURGUEBUS","0231401347","","0231400808","4391A","48305883000025","3 เ 5","","BANVILLE PHILIPPE","TRAVAUX DE CHARPENTE"
"ESNAULT CHARPENTE","","17 LE PLAIN","14860","AMFREVILLE","0231787278","","","4391A","34091197300014","10 เ 19","","ESNAULT FLAVIEN","TRAVAUX DE CHARPENTE"
"GARNAVAULT","","16 RUE ALFRED ZUCKERMAN","14270","MEZIDON CANON","0231905071","0699859676","","4391A","83221612100026","Inconnu","","GARNAVAULT ALEXANDRE","TRAVAUX DE CHARPENTE"
"OUEST HABITAT COMBLE","","RUE MARCEL LONGUET","14370","ARGENCES","0231239801","","","4391A","39137563100036","10 เ 19","","BLOT ADRIEN","TRAVAUX DE CHARPENTE"
"ATELIER CHARPENTE SAS","PARC ACTIVITE AUBEPIN","19 RUE PIERRE TAILLEE","17220","SALLES SUR MER","0546285096","0650718418","","4391A","75107894000036","3 เ 5","ateliercharpente@gmail.com","","TRAVAUX DE CHARPENTE"
"RETE / LA MAISON DES CHARPENTIERS","","11 RUE CHIRONS GRENIERS","17000","LA ROCHELLE","0546019306","","","4391A","90210535200014","Inconnu","","","TRAVAUX DE CHARPENTE"
"DAGOIS","","LA CHAUME DES RIAUDS","18210","THAUMIERS","0248618801","0681334201","0248618802","4391A","34774846900058","1 เ 2","dagois.joel@orange.fr","DAGOIS JOEL","TRAVAUX DE CHARPENTE"
"LTJ CHARPENTE","","LE PORCHE","18340","PLAIMPIED GIVAUDINS","0248250532","0678930526","","4391A","45278476200026","1 เ 2","","LOPES TEIXEIRA JEAN","TRAVAUX DE CHARPENTE"
"AVENIR TOITURES 21","","3 RUE MENETRIERE","21470","BRAZEY EN PLAINE","0769134788","","","4391A","87762291000017","Inconnu","","OUZAID SALAH","TRAVAUX DE CHARPENTE"
"FRED BOND BOIS","","16 CHEMIN CANAL","21170","ST USAGE","0640369149","","","4391A","82524355300013","1 เ 2","fredbondbois@gmail.com","BOND FRED","TRAVAUX DE CHARPENTE"
"LEYGUES CLAUDE","","ROUTE BEAUMONT","24540","MONPAZIER","0553226151","","","4391A","39982140400015","1 เ 2","","LEYGUES CLAUDE","TRAVAUX DE CHARPENTE"
"LEYMONIE JEAN PIERRE","","CHEZ DENIS","24340","LEGUILLAC DE CERCLES","0553607134","","","4391A","44300669700017","1 เ 2","","LEYMONIE JEAN","TRAVAUX DE CHARPENTE"
"SARL BERTIN","","1 ROUTE PONTARLIER","25330","CHANTRANS","0381865160","","0381866995","4391A","48407598100023","3 เ 5","","BERTIN DOMINIQUE","TRAVAUX DE CHARPENTE"
"PRO CHARPENTE SARL","","GRANCHAIN LIEU DIT PETITE CHOUQUETIERE","27410","MESNIL EN OUCHE","0232445394","","","4391A","44457133500017","0","","DRIEUX GILLES","TRAVAUX DE CHARPENTE"
"QUEUDRAY PIERRE ANTOINE","","36 Bis RUE GRANDS JARDINS","27620","STE GENEVIEVE LES GASNY","0609804956","","","4391A","38433684800013","0","","QUEUDRAY PIERRE","TRAVAUX DE CHARPENTE"
"CHARPENTE FROGER","","32 ROUTE NATIONALE","28210","FAVEROLLES","0675505985","","","4391A","48918933200039","1 เ 2","mehdi.froger@wanadoo.fr","FROGER MEHDI","TRAVAUX DE CHARPENTE"
"ENTREPRISE MOUSS","","61 Bis RUE PAUL DESCHANEL","28400","NOGENT LE ROTROU","0612061310","","","4391A","81145366100027","3 เ 5","","JAWAD MUSTAPHA","TRAVAUX DE CHARPENTE"
"FAMILLE MARTIN BATIMENT","","35 RUE PRIEURE","28170","TREMBLAY LES VILLAGES","0237653305","0621233160","","4391A","49754378500016","0","fmb.28@orange.fr","MARTIN FRANCK","TRAVAUX DE CHARPENTE"
"LAFEUILLE SAS","ZI SERMAISE","RUE GARE","28630","BERCHERES LES PIERRES","0237260495","","0237260076","4391A","33876958100012","10 เ 19","","LAFEUILLE WILLIAM","TRAVAUX DE CHARPENTE"
"SAS CIMMOB","","18 RUE AMFREVILLE","28210","ST LAURENT LA GATINE","0631027443","","","1623Z","81145442000019","1 เ 2","","BLOND HERVE","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"A2P CHARPENTE","","1 RUE ANITA CONTI","29260","TREGARANTEC","0623912213","","","4391A","83049448000015","Inconnu","","POULLAOUEC ERIC","TRAVAUX DE CHARPENTE"
"SURELEVER & RENOVER","","17 AVENUE PURPAN","31700","BLAGNAC","0561078749","","","4391A","79772744300021","6 เ 9","","ESNAULT KARL","TRAVAUX DE CHARPENTE"
"CABANES ET MAISONS","","48 RUE TRUCAILS","33980","AUDENGE","0627355047","","","4391A","89402339900013","Inconnu","","RAYMOND FRANCOIS","TRAVAUX DE CHARPENTE"
"CHARPENTE COUVERTURE DU SUD OUEST","","2 LIEU DIT GARENNE","33910","BONZAC","0557842164","","0557842873","4391A","39198666800021","6 เ 9","charpcouvso@yahoo.fr","LAFAYE FREDERIC","TRAVAUX DE CHARPENTE"
"DUTOUR PERE ET FILS","","50 RUE JOSEPH PERES","33110","LE BOUSCAT","0556086565","","","1623Z","45202387200016","3 เ 5","","DUTOUR JULIEN","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"LHYGONAUD PASCAL","","71 ROUTE PIQUESSEGUE","33350","MOULIETS ET VILLEMARTIN","0557404975","","","4391A","75223561400019","1 เ 2","","LHYGONAUD PASCAL","TRAVAUX DE CHARPENTE"
"MERIGNAC TOITURE","","148 AVENUE MARRONNIERS","33700","MERIGNAC","0556349850","","","4391A","40177809700014","3 เ 5","merignac.toiture@gmail.com","BELLEGARDE MARIE","TRAVAUX DE CHARPENTE"
"BAT ET CO","HAMEAU DE CLAIRAC","3 RUE GLYCINES","34260","LA TOUR SUR ORB","0630959402","","","4391A","84012274100019","0","batetco@outlook.fr","ARIBAUD BAPTISTE","TRAVAUX DE CHARPENTE"
"ROQUES OUVRAGES BOIS","","2 RUE CHEVREFEUILLES","34150","GIGNAC","0673716320","","","4391A","83520453800010","Inconnu","","ROQUES DAMIEN","TRAVAUX DE CHARPENTE"
"BUSSON CRON CHARPENTE","","LE CHAMP NEUF","35220","MARPIRE","0223373149","","0223372738","4391A","79192381600015","20 เ 49","sarl-busson-cron@wibox.fr","CRON HERVE","TRAVAUX DE CHARPENTE"
"HG BOIS CONSTRUCTION","","6 RUE AMPERE","35340","LIFFRE","0983223118","0664293234","","4391A","75095399400019","1 เ 2","","GUITTIER HERMANN","TRAVAUX DE CHARPENTE"
"ROUPIE CEDRIC","","1 GRANDE RUE","35120","ROZ LANDRIEUX","0631919995","","","4391A","78926419900017","3 เ 5","roupie.c.couverture@gmail.com","ROUPIE CEDRIC","TRAVAUX DE CHARPENTE"
"JOSE M SARL","","41 RUE LEON PAUL FARGUE","36310","CHAILLAC","0254257423","","","4391A","35044307300019","6 เ 9","","SERRA MENDES JOSE-ANTONIO","TRAVAUX DE CHARPENTE"
"ARTBOIS","ST MARTIN","6 ROUTE NATIONALE","37600","BRIDORE","0247948181","","","4391A","32072019600064","6 เ 9","","MAREUIL CLAUDE","TRAVAUX DE CHARPENTE"
"AUDECON LAURENT","","8 RUE PORTE DU CHATEAU","37500","CHINON","0688101875","","","4391A","49839269500025","Inconnu","","AUDECON LAURENT","TRAVAUX DE CHARPENTE"
"BERNEUX","","RUE GROSSES PIERRES","37530","CHARGE","0247571159","","0247577526","4391A","35078854300022","6 เ 9","","BERNEUX NICOLAS","TRAVAUX DE CHARPENTE"
"CHARPENTES TRADITIONNELLES DE TOURAINE CTT","","SITE ARTISANAL DU MAY","37270","AZAY SUR CHER","0247504647","0630975758","","4391A","79182316400029","10 เ 19","","GAUTHIER NICOLAS","TRAVAUX DE CHARPENTE"
"DE LAVIGERIE CHARPENTE","","12 RUE ALPHONSE DAUDET","37230","FONDETTES","0787285379","","","4391A","89758486800011","Inconnu","delavigeriecharpente@gmail.com","CHOURY DE LAVIGERIE IOAN","TRAVAUX DE CHARPENTE"
"LK COUVERTURE","","5 RUE SUEDE","37100","TOURS","0247221589","","","4391A","82161640600038","Inconnu","entrepriselkcouverture@gmail.com","LEGROS VINCENT","TRAVAUX DE CHARPENTE"
"MENARD CHRISTOPHE","","11 RUE PONT BOISSEAU","37140","BOURGUEIL","0247979649","","","4391A","44851174100010","0","","MENARD CHRISTOPHE","TRAVAUX DE CHARPENTE"
"MF COUVERTURE","","120 RUE VAL DE L'INDRE","37260","MONTS","0621136796","","","4391A","88843394300014","Inconnu","mfcouverture@hotmail.com","MARTINS FLORIAN","TRAVAUX DE CHARPENTE"
"SAUQUES TOURAINE COMBLES EURL","","186 ALLEE FOSSE NEUVE","37210","PARCAY MESLAY","0247291100","","","4391A","3946938240001","10 เ 19","","","TRAVAUX DE CHARPENTE"
"A2 CONCEPT "LES CHARPENTIERS DE SEM"","","322 ROUTE ETEPPES","38480","ST JEAN D'AVELANNE","0678310938","","","4391A","84815723600011","Inconnu","","DAZIN NICOLAS","TRAVAUX DE CHARPENTE"
"AGRANDIS TOIT","","25 ZA PRE CHATELAIN","38300","ST SAVIN","0474288069","","","4391A","79354702700011","3 เ 5","","TABARDEL DAVID","TRAVAUX DE CHARPENTE"
"BB CHARPENTE","","200 CHEMIN GRAND REY","38730","CHELIEU","0627718744","","","4391A","53069839800035","1 เ 2","","BLESTEL QUENTIN","TRAVAUX DE CHARPENTE"
"BETON BOIS CONCEPT","","ROUTE THEZIN","38160","ST ANTOINE","0660373698","","","4391A","45368659400020","3 เ 5","beton_bois_concept@bbox.fr","LAO ALEXANDRE","TRAVAUX DE CHARPENTE"
"BONZY CHARPENTE","","CHAMP DU MOUTON","38650","SINARD","0476340531","","0476340152","4391A","42939606200011","0","","BONZY FRANCIS","TRAVAUX DE CHARPENTE"
"SARL CONSTRUCTIC BOIS","ZA DU BRESSON","177 RUE ABERGEMENT","38660","LE TOUVET","0476085506","","0476085509","4391A","38883131500022","10 เ 19","constructic.bois@orange.fr","BELIARD CLAUDE","TRAVAUX DE CHARPENTE"
"CROCHET FILS","","26 RUE SALINES","39000","LONS LE SAUNIER","0384240163","","","4391A","818913527000","3 เ 5","","","TRAVAUX DE CHARPENTE"
"CITRAIN GONTRAN","","63 ROUTE SOS","40310","GABARRET","0558449583","","","4391A","479931719000","0","","","TRAVAUX DE CHARPENTE"
"TOUS TRAVAUX BOIS","","107 ROUTE SAUBRIGUES","40230","BENESSE MAREMNE","0558725946","","","4391A","49211905200024","6 เ 9","","MONDENX PATRICK","TRAVAUX DE CHARPENTE"
"AC PLOUX","ZA CHARDONNAIS","13 RUE BOURG NEUF","41800","SOUGE","0254851477","0664036263","","4391A","48827973800022","3 เ 5","","MIRAULT BENOIT","TRAVAUX DE CHARPENTE"
"COUBRUN CEDRIC","","4 ROUTE BOURG","41400","ST JULIEN DE CHEDON","0254329991","","","4391A","89441964700017","Inconnu","","COUBRUN CEDRIC","TRAVAUX DE CHARPENTE"
"GREGEARD","","ROUTE SAULES","41000","VILLERBON","0254468449","0606403459","","4391A","79345241800015","6 เ 9","","GR GEARD GEOFFROY","TRAVAUX DE CHARPENTE"
"STEPHANE AUBRY  CHARPENTE COUVERTURE","","16 ROUTE VENDOME","41360","LUNAY","0254720508","","","4391A","48814813100029","3 เ 5","frederic.bouillon@orange.fr","AUBRY STEPHANE","TRAVAUX DE CHARPENTE"
"VIVRE ECO","","ROUTE FORTAN","41360","EPUISAY","0254720621","","","4391A","48421454900012","6 เ 9","","BRETON SAMUEL","TRAVAUX DE CHARPENTE"
"ENTREPRISE JB MASSARDIER","","7 RUE JACQUARD","42500","LE CHAMBON FEUGEROLLES","0477560490","","","4391A","75107773600054","Inconnu","","CLEMENT BRUNO","TRAVAUX DE CHARPENTE"
"C B M R","ZA LE HAUT COIN","3 RUE INDUSTRIE","44140","AIGREFEUILLE SUR MAINE","0240038893","","","4391A","81791062300013","6 เ 9","cbmr@distelcom.fr","DOUILLARD CHRISTOPHE","TRAVAUX DE CHARPENTE"
"CARCOUET ATELIER BOIS","","PIBORDEL","44170","VAY","0240793560","","0240794591","4391A","41479733200023","3 เ 5","","CARCOUET REMI","TRAVAUX DE CHARPENTE"
"CHARPENTE MENUISERIE THEVENON","","LA JAGUAIS","44750","CAMPBON","0617388955","","","4391A","83483524100011","0","","THEVENON ANTOINE","TRAVAUX DE CHARPENTE"
"COMBLES D'EN FRANCE PAYS DE LA LOIRE","ZI DES DORICES","2 RUE INDUSTRIE","44330","VALLET","0240366017","0649334620","","4391A","34469260300022","6 เ 9","","","TRAVAUX DE CHARPENTE"
"TOUT BEAU TOUT BOIS","","RUE PROFONDINE","44230","ST SEBASTIEN SUR LOIRE","0765810395","","","4391A","90416864800015","Inconnu","","VANTHIELT ANTHONY","TRAVAUX DE CHARPENTE"
"ATELIER BENOIST","","49 RUE GEN DE GAULLE","45650","ST JEAN LE BLANC","0238660960","","","4391A","53406108000014","6 เ 9","","LEEMPUT JACQUES","TRAVAUX DE CHARPENTE"
"LOIRE CONCEPTION BOIS","","ZA OUCHES","49570","MAUGES SUR LOIRE","0241877882","","","4391A","80469194700035","1 เ 2","","BOURRIGAULT LUDOVIC","TRAVAUX DE CHARPENTE"
"MORIN CONSTRUCTION BOIS","","LIEU DIT CHEVRELLERIE","49125","TIERCE","0602684808","","","4391A","80839910900012","3 เ 5","","MORIN BENJAMIN","TRAVAUX DE CHARPENTE"
"PIERRE ET BOIS","","CHEMIRE SUR SARTHE LIEU DIT POUE","49640","MORANNES SUR SARTHE","0673793656","","","4391A","53147528300010","Inconnu","","BATARD PIERRE","TRAVAUX DE CHARPENTE"
"ESPACE COMBLES AMENAGEMENTS","","62 RUE FENELON","51100","REIMS","0324309862","","0324301927","4391A","43231969700020","1 เ 2","","SALINGUE DANIELE","TRAVAUX DE CHARPENTE"
"AMANN JOHN","","10 RUE AMBRIERES","52290","ECLARON BRAUCOURT STE LIVI","0325049263","0625773444","","4391A","84228268300015","Inconnu","","AMANN JOHN","TRAVAUX DE CHARPENTE"
"BBC CONCEPT","","ZONE D'ACTIVITE LINGCHAMP","54280","CHAMPENOUX","0782232206","","","4391A","82481641700011","1 เ 2","","PIQUOT SERGE","TRAVAUX DE CHARPENTE"
"CHASSERIAUX HABITAT","","12 QUAI HAUTE MOSELLE","54230","NEUVES MAISONS","0383476408","","0383471392","4391A","4479445470002","6 เ 9","","","TRAVAUX DE CHARPENTE"
"POLI BATIMENT","","6 RUE VENDANGEURS","54380","SAIZERAIS","0383246038","","","4391A","47805438000025","6 เ 9","jean-marc.poli@wanadoo.fr","POLI JEAN-MARC","TRAVAUX DE CHARPENTE"
"CHAMPAGNE ETIENNE","","BEAUSEJOUR","56580","CREDIN","0297389772","","0297385625","4391A","49102304000018","3 เ 5","champagne-charpente@orange.fr","CHAMPAGNE ETIENNE","TRAVAUX DE CHARPENTE"
