"Nom","Adresse 1","Adresse 2","Code postal","Ville","Téléphone 1","Téléphone 2","Fax","NAF","SIRET","Effectif","Email","Responsable","Activité"
"C D H SARL","","RUE VAL D'1 OEUF","60590","TALMONTIERS","","","0344848691","3312Z","38540805900025","0","","DELBOULLE CAMILLE  JULES  EMILE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"HYDROMAG","ZAE 3","1 RUE JEAN GABIN","60230","CHAMBLY","0344226342","","0344520147","3312Z","49764041700034","Inconnu","contact@hydromag.fr","RISTIC GORAN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"L'AIGLE LEVAGE","","120 ROUTE PARIS","61300","CHANDAI","0233241076","","0233245658","3312Z","38538439100038","6 à 9","","FOUCAULT GILLES","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CML MANUTENTION","","AVENUE IMMERCOURT","62000","ARRAS","0321076262","","","3312Z","82477821100014","6 à 9","","LABRUYERE CHRISTOPHE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MOREL GILLES","","15 RUE JULIEN CHAMPCLOS","63370","LEMPDES","0473842358","","","3312Z","43821718400045","10 à 19","","MOREL GILLES","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SOCIETE BIGOURDANE D'ELECTROMECANIQUE","","50 RUE MIRANDE","65140","RABASTENS DE BIGORRE","0562966840","","","3314Z","42139016200020","1 à 2","","FORGUES MARC","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"EQUIPEMENT GRUE SERVICE","","8 ALLEE VOSGES","67150","MATZENHEIM","0967462226","0611139396","0388742226","3312Z","48184356300018","3 à 5","","DESCHAMPS MICHAEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ALTODIS","ZAC DU RINDERACKER","16 RUE POLOGNE","68170","RIXHEIM","0389634110","","0389319505","3312Z","45258882500029","20 à 49","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"EGM","","10 AVENUE 11 NOVEMBRE 1918","69200","VENISSIEUX","0478708855","","0478709041","3312Z","37875278600046","Inconnu","","MUSY JEAN-CLAUDE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LEVELEC","","7 RUE FRANCINE FROMONT","69120","VAULX EN VELIN","0437450607","","","3312Z","30098668400037","10 à 19","levelec@levelec.fr","DECHAUX LAURENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MANITOWOC CRANE GROUP FRANCE SERVICE APRES VEN","","5 RUE LAVOISIER","69780","ST PIERRE DE CHANDIEU","0469859220","","0469859228","3312Z","63204583700663","50 à 99","","GROS JEAN-NOEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MANITOWOC CRANE GROUPE FRANCE FORM ET LOGISTIQ","","11 RUE FRERES MONGOLFIER","69780","ST PIERRE DE CHANDIEU","0469859220","","0469859228","3312Z","63204583700663","50 à 99","cdf@manitowoc.com","GROS JEAN-NOEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AIX HYDRO SARL","ZA LE GLATEY","RUE NANT BURNIER","73410","LA BIOLLE","0479547196","","0479547141","3312Z","34746060200027","6 à 9","","GUTHLEBEN YANNICK","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MECANHYDRO","","20 AVENUE MONT ST MICHEL","73000","BARBERAZ","0479336989","","0479335033","3312Z","39995523600027","6 à 9","info@mecanhydro.fr","CONTESSE LOIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"REMALEV SAS","","1 RUE PARES","74230","THONES","0456203886","","","3312Z","79461152500039","1 à 2","info@remalev.com","RIVALLAIN-MARTINET KEVYN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"B A D T LEVAGE","","ZAC GRAND LAUNAY","76120","LE GRAND QUEVILLY","0232115151","","0235677598","3312Z","39491664700032","10 à 19","contact@badt-levage.com","BOUTONNIER BRUNO","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"HYDRO APPLICATIONS HYDRO APPLICATIONS LA ROCHE","","2 RUE PHARLE","77130","MONTEREAU FAULT YONNE","0164704483","","","3312Z","30341412200059","10 à 19","haidf@hydro.fr","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ATELIER DE LA MANUTENTION","ESPACE M ESPACE MENDES FRANC","30 RUE JEAN FRANCOIS CAIL","79000","NIORT","0549330771","","","3312Z","44283137600011","6 à 9","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"HAUT VAR MANUTENTION","","4 Bis CHEMIN FERRAGES","83560","GINASSERVIS","0650631568","","","3312Z","81855921300017","Inconnu","","DAUGENET JOHNNY","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MOQUAIS SERVICE","VENDEOPOLE","43 RUE INNOVATION","85200","FONTENAY LE COMTE","0228139201","","0228139734","3312Z","44122960600021","3 à 5","","KATALENIC DIDIER","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"DURAND MANUTENTION","","1 RUE MONCEL","88580","SAULCY SUR MEURTHE","0679788182","","","3312Z","53050173300022","1 à 2","durandmanutention@gmail.com","DURAND CHRISTOPHE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CODITEM","","1 RUE FERME DE LA TOUR","94460","VALENTON","0143821221","","0143827534","3312Z","38501621700049","10 à 19","info@coditem.fr","PERRIN STEPHANE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BONNEAU CHAPALAIN","","232 CHAUSSEE JULES CESAR","95250","BEAUCHAMP","0134304304","","0130372920","3312Z","67820251600038","3 à 5","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ELECTROLEV","","2 RUE BUTTE ROUGE","95220","PIERRELAYE","0139952965","","","3312Z","35062134800027","10 à 19","","DE BRITO RODRIGUES CARLOS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CAMION ATELIER","","14 GRANDE RUE","02800","BERTAUCOURT EPOURDON","0610345253","","","3312Z","39353845900040","0","","GUENOT LAURENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ACHARD MAINT INDU","","ZA TINE RODET","07340","ST DESIRAT","0475693539","","","3312Z","79947335000020","Inconnu","","PAYET STEPHANE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SUD FLEXIBLE COMPOSANTS","","218 CHEMIN MAS DE CHEYLON","30900","NIMES","0466295464","","0466844021","3312Z","37749478600041","6 à 9","","BECHEREL PIERRE-YVES","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BARBOSA LOUIS","","7 RUE HIRONDELLES","38280","VILLETTE D'ANTHON","0478311694","","","3312Z","38118326800022","Inconnu","","BARBOSA LUIS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SZKOLA","","1 RUE EGLISE","51300","BIGNICOURT SUR MARNE","0326622941","","","3312Z","38383228400012","3 à 5","","SZKOLA JEAN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BURSTERT PATRICK","","50 A RUE JEAN JAURES","68160","STE MARIE AUX MINES","0389586187","","0389587569","3312Z","42350789600029","6 à 9","burstert.sarl@sfr.fr","BURSTERT PATRICK","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CP SERVICES","PARCD ACTIVITE POLARIS","5 RUE GRANGES","85110","CHANTONNAY","0251983441","","","3312Z","83825198100026","Inconnu","","CHATEVAIRE PASCAL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"GT CONCEPT","","801 RUE BOUDIERE","88170","DOMMARTIN SUR VRAINE","0329944332","","","3312Z","80190262800024","6 à 9","","GERARD CEDRIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"COM UNIC","LE PASTEUR 0","84 AVENUE PLAINE","74000","ANNECY","0974767626","","","3314Z","47756206000012","10 à 19","","NICULAE ADRIAN","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"COMPAGNIE DE L'ISOLATION","","12 RUE DEGUERRY","75011","PARIS","0148061517","","","3312Z","44113118200012","0","","KANAWATI ABDULWAHAB","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ATE","","20 RUE BLAISE PASCAL","17180","PERIGNY","0546305070","","0546305075","3314Z","35367999600044","3 à 5","","BANDEIRA NICOLAS","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"APPLIC FROID","ZI DE JUSTON","181 RUE MOUSQUETAIRES","40260","CASTETS","0558550591","","0558550513","3312Z","34886638500043","3 à 5","","LAURENT MARCEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BEARN FRIGO ROUTE","","3 LOTISSEMENT ZI 42 AV FRERES LUMIERE","64140","LONS","0559623806","","0559928444","3312Z","32692246500025","1 à 2","","RIVIERE YANNICK","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"FP MECANIQUE","","LIEU DIT AITRES","86140","SCORBE CLAIRVAUX","0973050108","","","3312Z","82452677600029","Inconnu","","PROUST FRANCOIS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"GANDRE BRUNO EURL","","2 CHEMIN RUEE","71390","BISSEY SOUS CRUCHAUD","0966931203","","","3312Z","44210896500017","1 à 2","","GANDRE BRUNO","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"DESJOYAUX PISCINES MA PAGE BLEUE CONCESS","","AVENUE FIRMIN BOUVIER","24750","BOULAZAC","0553053106","","","3312Z","50177305500022","Inconnu","","NABOULET GERARD","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AT91 AQUATECHNIQUE","","11 RUE MORILLON","91940","GOMETZ LE CHATEL","0160126500","","","3312Z","42968086100037","1 à 2","aquatechnique@wanadoo.fr","COMBRON ERIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LA CHARLOISE","","7 ROUTE CIVRAY","86250","CHARROUX","0549874044","","","3312Z","88291283500015","Inconnu","","LAFOND LUDOVIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ERAS","","RUE GRANDE PREE","60880","LE MEUX","0344833721","","0344830085","3314Z","33428396700043","20 à 49","contact@eras-gse.com","VERPILLEUX CATHERINE","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"GUIFFRAY EMMANUEL","","CHEMIN CORCHELOUP","01160","NEUVILLE SUR AIN","0666332736","","","3312Z","81243630100012","0","","GUIFFRAY EMMANUEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"NISSAFFUTAGE","","1140 ROUTE LEVENS","06690","TOURRETTE LEVENS","0671892076","","","3312Z","52892717100017","Inconnu","","BERUTTO JACQUES","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"RAYBAUD COLLOMP MICHEL","VIILA 9","519 ROUTE GRASSE","06740","CHATEAUNEUF GRASSE","0636923503","","","3312Z","35042449500025","0","","RAYBAUD COLLOMP MICHEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ARDECHE AFFUTAGE EIRL","","45 RUE TARTARY","07200","AUBENAS","0680988502","","","3312Z","82860681400014","0","","BELLOT EMMANUEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"VEYRENC ROLAND","","2 IMPASSE GRAND FONT","07330","THUEYTS","0689296945","","","3312Z","80504674500016","0","roland.veyrenc07@outlook.fr","VEYRENC ROLAND","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MARROT DIDIER","","LIEU DIT FORGE","09000","BRASSAC","0561028044","","","3312Z","44029278700015","0","","MARROT DIDIER","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LE PETIT AFFUTEUR OCCITAN","","16 RUE RIVIERE","11200","ST ANDRE DE ROQUELONGUE","0608100067","","","3312Z","83085941900012","Inconnu","","PRUDENT MICKAEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AFFUT'PRO 13","","5 RUE FELIX FREGIER","13007","MARSEILLE","0680035159","","","3312Z","43146095500021","0","","BOUISSIN PATRICK","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LAFOSSE ET FILS","","30 BOULEVARD LIBERTE","13001","MARSEILLE","0491508224","","","3314Z","41082830500038","0","","LAFOSSE REMI","REPARATION D'EQUIPEMENTS ELECTRIQUES"
"ECO AFFUTAGE SERVICES","","11 RUE GRILLONS","17640","VAUX SUR MER","0677687569","","","3312Z","38802919100037","0","","FORGERON THIERRY","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SAINT JEAN AFFUTAGE","ST DENIS DU PIN","23 RUE PRIEURE","17400","ESSOUVERT","0546322937","","","3312Z","39444059800016","0","","POUILLOU FREDERIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"OLIVIERI ET FILS","LIEU DIT SANSONETTI","12 LOTISSEMENT BIAGGI","20600","FURIANI","0495306052","","0495307708","3312Z","34931581200025","0","","OLIVIERI ANGE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SOCIETE NOUVELLE DIJON AFFUTAGE","","6 IMPASSE PRES SAMPAGNY","21160","COUCHEY","0380714146","","","3312Z","49205307900033","1 à 2","","DURAND JEROME","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"OUEST AFFUTAGE","ZAC DU BOIS BLANC","AVENUE PIERRE MENDES FRANCE","22950","TREGUEUX","0296945854","","0296781894","3312Z","48790813900016","10 à 19","","TURMEL LYNDA","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"RENON ALAIN","","47 ROUTE LANNION","22560","TREBEURDEN","0683557389","","","3312Z","40358790000024","Inconnu","prov001@free.fr","RENON ALAIN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AFFUTAGE DOM 24 SARL","","ZA LA BAGUETTE DE BOIS 117 LIEU DIT BOURG","24300","ST FRONT LA RIVIERE","0670587682","","","3312Z","88345582600015","Inconnu","","AFFUTAGE DOM","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"BS AFFUTAGE SAS","","15 BOULEVARD INDUSTRIE","24430","MARSAC SUR L'ISLE","0553534321","","","3312Z","83233651500016","0","affutage.dordogne@orange.fr","LALUQUE THIERRY","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SARLAT AFFUTAGE","","LIEU DIT ROFFY","24200","STE NATHALENE","0673739197","","","3312Z","84447348800014","Inconnu","","MARCEL MICHAEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"MOREL AFFUTAGE","","23 RUE FROIDIERE","25290","ORNANS","0381571039","","","3312Z","43001795400024","0","","MOREL STEPHANE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"ABF AFFUTEUR","","3 QUARTIER CONDAMINE","26400","AOUSTE SUR SYE","0781909329","","","3312Z","79511405700016","Inconnu","","ABF AFFUTEUR REMOULEUR ITINERANT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LE REMOULEUR DU COIN","","8 RUE ROYALE","26740","LA COUCOURDE","0664463121","","","3312Z","83137516700010","0","","DEVAUX NICOLAS","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LA FLEUR AFFUTAGE MARC","","143 CHEMIN CORNIQUET","27210","ST PIERRE DU VAL","0232566082","","","3312Z","80775164900011","Inconnu","","LIOUST DIT LAFLEUR KEVIN","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"SCOP JOUANNET","","27 RUE FRANCHEVILLE","27580","BOURTH","0232322802","","","3312Z","79488846100017","3 à 5","","GOUGET FABRICE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AFFUTAGE 29","ZA DREVERS","RUE MAURICE DE TRESIGUIDY","29190","PLEYBEN","0298263508","","","3312Z","51343830900025","1 à 2","","COCHEN DIDIER","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"KERMOAL GUILLAN","","ZI KERVANON","29610","PLOUIGNEAU","0298620035","","0298634294","3312Z","38906373600059","10 à 19","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"OUEST MECA BTP","ZA SEQUER NEVEZ","14 RUE P TEILHARD DE CHARDIN","29120","PONT L'ABBE","0298665319","0627991183","","3312Z","80108584600021","Inconnu","","ESPERN JACQUES","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"L'AFFUTEUR MOBILE","","13 Bis RUE PAUL CEZANNE","30700","UZES","0641711855","","","3312Z","53854060000011","Inconnu","","MESSEMBOURG JEAN-CLAUDE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AFFUTAGE GARONNAIS","","8 CHEMIN CANDIE","31120","PORTET SUR GARONNE","0561075108","","","3312Z","52998563200023","3 à 5","","CAZANAVE JEROME","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AFFUTAGE MOBILE","","4 RUE MOULIN","31390","SALLES SUR GARONNE","0561906389","","","3312Z","78982982700011","Inconnu","","BONAVENTURA ROLANDO","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AFFUTAGE GIRONDIN","","11 RUE ECOLES","33410","BEGUEY","0695093816","","","3312Z","80843687700019","0","","GUENARD LAURENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AFFUTAGE INDUSTRIEL DE GIRONDE","","2 RUE BUSSAGUET","33320","LE TAILLAN MEDOC","0557108303","","0970611053","3312Z","52945021500023","0","contact@affutage-gironde.fr","FREDON CLEMENT","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"AFFUTEUR DU BASSIN","","1 Bis RUE ESQUIREY","33510","ANDERNOS LES BAINS","0664473894","","","3312Z","52287348800020","0","","HORTU FREDERIC","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"CAROLUS & GEDEMUS AFFUTAGE","","3 ROUTE CAMBLANES","33670","ST GENES DE LOMBAUD","0662847594","","","3312Z","48012828900018","Inconnu","","PRIGNEAU-BOURGADE CHARLES-EMMANUEL","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"LACAZE PATRICE","SALIGNAC","4 ALLEE MICHELLE","33240","VAL DE VIRVEE","0557431879","","","3312Z","37886265000017","Inconnu","","LACAZE PATRICE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"THOMASSIN PIERRE","","8 LIEU DIT HARRO","33620","ST MARIENS","0557589745","0782100166","","3312Z","80743661300010","0","","THOMASSIN PIERRE","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"COUP'RO","","LA PIGNERIE","35620","ERCE EN LAMEE","0637837716","","","3312Z","42026043200067","Inconnu","","ROGER OLIVIER","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
"STATION RENNAISE D'AFFUTAGE","","3 RUE HENRI POLLES","35136","ST JACQUES DE LA LANDE","0299353030","","0299353120","3312Z","32497042500025","6 à 9","","","REPARATION DE MACHINES ET EQUIPEMENTS MECANIQUES"
