"Nom","Adresse 1","Adresse 2","Code postal","Ville","Téléphone 1","Téléphone 2","Fax","NAF","SIRET","Effectif","Email","Responsable","Activité","Activité","Activité","Activité","Activité"
"AGESPIM","","51 ROUTE BRESSOLS","82000","MONTAUBAN","0563912090","","","7022Z","44522914900023","Inconnu","","SAHUC CHRISTOPHE","ADMINISTRATEURS DE BIENS","AGENCES IMMOBILIERES","GESTION DE PATRIMOINE","COURTIERS D'ASSURANCES","GESTION LOCATIVE"
"ELYTE SOLUTIONS","","547 AVENUE JULES DESWARTES","59495","LEFFRINCKOUCKE","0771856964","","","7022Z","87885683000012","Inconnu","","DESCHAMPS SEBASTIEN","ECONOMIE, FINANCES (SERVICES PUBLICS)","CONSEILS, ETUDES FINANCIERES","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS",""
"COLBERT PATRIMOINE INVEST","","37 AVENUE REILLE","75014","PARIS","0183966219","","","6622Z","80292424100010","Inconnu","","BONO PASCAL","ECONOMIE, FINANCES (SERVICES PUBLICS)","COURTIERS D'ASSURANCES","","",""
"ASSOCIATION DES ASSURES SOCIAUX","","16 ROUTE EAUNES","31600","MURET","0534567800","","0534567801","9499Z","40098043900030","0","sandrine.briere@cabinetcapc.fr","ASSOCIATION DES ASSURES SOCIAUX","ASSOCIATIONS CULTURELLES, DE LOISIRS","ASSOCIATION HUMANITAIRE, D'ENTRAIDE, SOCIALE","COURTIERS D'ASSURANCES","",""
"MON CONSEILLER WEB SARL","","62 RUE TROUPES DE MARINES","34670","BAILLARGUES","0467273319","","","6201Z","79758128700019","Inconnu","","MARTIN NICOLAS","AGENCES DE MARKETING","COURTIERS D'ASSURANCES","INTERNET : CREATION DE SITES, HEBERGEMENT","FORMATION CONTINUE","INFORMATIQUE : EDITEURS DE LOGICIELS, SOCIETES DE SERVICES"
"COVERLYS","","26 RUE LONDRES","75009","PARIS","0170700092","","","6622Z","80820115600011","0","","JUSTIER GUILLAUME","AGENCES DE MARKETING","COURTIERS D'ASSURANCES","","",""
"LCA","","37 AVENUE BRIERE","44350","GUERANDE","0251750700","",""," 6420","37847590900024","6 à 9","","LEAC JEAN-CHRISTOPHE","AGENCES DE PUBLICITE","COURTIERS D'ASSURANCES","TRAVAUX PUBLICS","",""
"AGENCE AVEROUX","","8 AVENUE GEN DE GAULLE","11150","BRAM","0468761311","0679693811","","6831Z","49044477500012","1 à 2","veronique@averouximmo.com","AVEROUX VERONIQUE","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","","",""
"GIE MALQUIER DEVELOPPEMENT","","217 AVENUE PIERRE BROSSOLETTE","11210","PORT LA NOUVELLE","0468480134","","","6832A","45046749300018","6 à 9","contact@agencedusoleil.com","MALQUIER MICHEL","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","LOCATION D'APPARTEMENTS","",""
"NET CAPITAUX","","DOMAINE DE LA COLOMBIERE RTE SIEGE","13109","SIMIANE COLLONGUE","0442228010","","0442228018","6622Z","49020425200012","0","","DEMSAR BERNARD","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS","",""
"MAISON & CREDIT","","80 RUE SAINTES","16000","ANGOULEME","0679273942","","","6831Z","83146177700029","0","contact@maisonetcredit.com","MAYAUD OLIVIER","AGENCES IMMOBILIERES","CONSEILS, ETUDES FINANCIERES","COURTIERS D'ASSURANCES","CREDIT IMMOBILIER",""
"2B INVESTISSEMENTS","","246 RUE CHENES VERTS","17940","RIVEDOUX PLAGE","0173289846","0607224966","","","0","","contact@2b-investissements.fr","","AGENCES IMMOBILIERES","GESTION DE PATRIMOINE","COURTIERS D'ASSURANCES","",""
"MINERVE ASSURANCE BSI","","119 RUE SALVADOR ALLENDE","18500","FOECY","0631681192","","","6831Z","38764921300049","Inconnu","","AUBAILLY JEAN","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","","",""
"ARMORIQUE PATRIMOINE","","23 RUE ARVOR","29400","LANDIVISIAU","0298155034","0637727929","","6622Z","45401092700019","1 à 2","armorique.patrimoine@free.fr","DIVERREZ JEAN-FRANCOIS","AGENCES IMMOBILIERES","GESTION DE PATRIMOINE","COURTIERS D'ASSURANCES","",""
"HERRY ASSURANCES & PATRIMOINE","","RUE PORSTREIN","29200","BREST","0229206870","","","6622Z","34334900700066","Inconnu","","HERRY JEAN-PAUL","AGENCES IMMOBILIERES","GESTION DE PATRIMOINE","COURTIERS D'ASSURANCES","CREDIT IMMOBILIER",""
"LE VIGAN IMMOBILIER","","14 AVENUE EMMANUEL D'ALZON","30120","LE VIGAN","0467812839","","","6831Z","53272390500016","3 à 5","","BRUNO CHRISTOPHE","AGENCES IMMOBILIERES","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","",""
"SERV'IMMO","","3 AVENUE CHAMP DE MARS","30128","GARONS","0411833306","0786736286","","6831Z","38101268100023","Inconnu","","SANCHEZ THIERRY","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","EXPERTS EN IMMOBILIER","GESTION LOCATIVE",""
"SACAREAU CABINET","","17 AVENUE BURE","31370","RIEUMES","0561910987","","","6831Z","39431625100039","3 à 5","","SACAREAU SYLVIE","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","","",""
"HAUSSMANN PATRIMOINE","","CENTRE REGUS GARE DE BORDEAUX PARVIS","33000","BORDEAUX","0499651476","","","","0","","","","AGENCES IMMOBILIERES","GESTION DE PATRIMOINE","CONSEILS, ETUDES FINANCIERES","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS"
"ACORIMMO ACORI COURTAGE  EREM CONSEILS","","5 ZAE L'AUDACIEUSE","34480","MAGALAS","0689448350","","","6622Z","49246573700038","1 à 2","","DUCROT LAURENT","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","","",""
"FRANCE FINANCE IMMOBILIER","","6 BOULEVARD FRANCISQUE SARCEY","34500","BEZIERS","0467305700","","","6831Z","38185102100018","1 à 2","nicolas.satre@gmail.com","VIDAL DOMINIQUE","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","","",""
"HAUSSMANN PATRIMOINE","","29 RUE LOGE","34000","MONTPELLIER","0153430210","","","","0","","info@haussmann-patrimoine.fr","","AGENCES IMMOBILIERES","BANQUES","GESTION DE PATRIMOINE","CONSEILS, ETUDES FINANCIERES","COURTIERS D'ASSURANCES"
"CPI ASSURANCES","PARC D'AFFAIRES EDONIA","RUE ILES KERGUELEN","35760","ST GREGOIRE","0299838761","","0299317595","6831Z","44206066100034","3 à 5","","DANDIN CAMILLE","AGENCES IMMOBILIERES","GESTION DE PATRIMOINE","COURTIERS D'ASSURANCES","",""
"COUVE IMMOBILIER","","67 RUE JEAN JAURES","42700","FIRMINY","0477405353","","","6622Z","47762701200016","6 à 9","contact@couveimmobilier.fr","COUVE PHILIPPE","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","","",""
"DOHM IMMOBILIER","","18 RUE VICTOR HUGO","42700","FIRMINY","0983914029","","","6831Z","52853787100030","0","","PLASSE FRANCK","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS","CREDIT IMMOBILIER",""
"DOHM IMMOBILIER","","2 PLACE GAMBETTA","42390","VILLARS","0986464155","","","6831Z","52853787100089","Inconnu","","PLASSE FRANCK","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS","",""
"LOIRE INVESTISSEMENT","","40 RUE MICHELET","42000","ST ETIENNE","0477473744","0681141899","","6831Z","49905692700035","6 à 9","","ACHOUR YAZID","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS","CREDIT IMMOBILIER","EXPERTS EN IMMOBILIER"
"LOIRE INVESTISSEMENT","","1 RUE MARINE","42170","ST JUST ST RAMBERT","0477567959","0632808241","","6831Z","87879848700012","Inconnu","","JACQUET ANTHONY","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS","CREDIT IMMOBILIER","EXPERTS EN IMMOBILIER"
"VIA  LA PLATEFORME PATRIMONIALE ORLEANS","","2 RUE GIRODET","45000","ORLEANS","0685438823","","","6619B","89111582600010","Inconnu","s.dutour@via-ap.com","DUTOUR STEPHANE","AGENCES IMMOBILIERES","GESTION DE PATRIMOINE","COURTIERS D'ASSURANCES","",""
"AGENCE STEPHANE SAVOURNIN","","17 BOULEVARD PAIX","46220","PRAYSSAC","0565213181","","","6831Z","41053726000037","Inconnu","","BENOIT JACQUELINE","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","","",""
"LOZASSUR LOZIMMO","","4 ESPLANADE MARCEAU FARELLE","48400","FLORAC TROIS RIVIERES","0466457958","","","6820A","89502368700018","Inconnu","","ROBERT MARIE-PAULE","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","EXPERTS EN ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES"
"VALORIAL","","2 AVENUE SERRANO","64200","BIARRITZ","0559632753","","","7022Z","48070154900036","3 à 5","","NEMES DE WEISZ-HORSTENSTEIN GEORGES","AGENCES IMMOBILIERES","GESTION DE PATRIMOINE","CONSEILS, ETUDES FINANCIERES","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS"
"NICK XAVIER","","4 A RUE ROTLAND","67140","BARR","0621555285","","","6831Z","42214662100087","Inconnu","","NICK XAVIER","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","","",""
"EFCO IMMO","","2 RUE WINSTON CHURCHILL","68870","BARTENHEIM","0389701069","","0389899059","6831Z","47980556600029","0","","HARMUTH PATRICK","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","","",""
"ACCESS VALUE PATRIMOINE","","40 RUE UNIVERSITE","69007","LYON","0427446075","","","6619B","53767960700029","Inconnu","","TERNAMIAN OLIVIER","AGENCES IMMOBILIERES","GESTION DE PATRIMOINE","CONSEILS, ETUDES FINANCIERES","COURTIERS D'ASSURANCES",""
"CABINET VALEURS & SENS","","124 PARKING HALLE","69400","ARNAS","0474628994","","","7022Z","44089011900033","3 à 5","","BELENFANT KATIA","AGENCES IMMOBILIERES","GESTION DE PATRIMOINE","COURTIERS D'ASSURANCES","",""
"MUGNIER IMMOBILER","","28 PLACE DOCT HUMBERT","74440","TANINGES","0450348869","","","6820B","50949090000016","6 à 9","","MUGNIER VALERIE","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","LOCATION SAISONNIERE","LOCATION D'APPARTEMENTS","MANDATAIRES IMMOBILIERS"
"YDC","","200 ROUTE DOUDEVILLE","76190","ETOUTTEVILLE","0660448924","","","6619B","88071247600014","Inconnu","ydc13@outlook.fr","LECROQ-DURIEU DEBORAH","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","COURTIERS PRETS IMMOBILIERS","",""
"LUCIE CEP","","14 AVENUE GEN LECLERC","78470","ST REMY LES CHEVREUSE","0147899864","0609020223","","6619B","83373421300014","Inconnu","accueil@editionsluciecep.fr","TRIGO DELPHINE","AGENCES IMMOBILIERES","GESTION DE PATRIMOINE","CONSEILS, ETUDES FINANCIERES","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS"
"ECOFI PATRIMOINE GESTION","","20 RUE JACQUES BUJAULT","79300","BRESSUIRE","0549811213","","0549811214","6619B","41057319000049","3 à 5","","GERBAUD ESTELLE","AGENCES IMMOBILIERES","GESTION DE PATRIMOINE","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS",""
"GENEVIEVE DOUGADOS CONSEIL","","49 RUE HOTEL DE VILLE","81100","CASTRES","0563721214","","","7022Z","53212851900040","Inconnu","gdougados@gd-conseil.fr","DOUGADOS GENEVIEVE","AGENCES IMMOBILIERES","GESTION DE PATRIMOINE","CONSEILS EN ORGANISATION, GESTION MANAGEMENT","CONSEILS, ETUDES FINANCIERES","COURTIERS D'ASSURANCES"
"PARDO CONSEIL","ESPACE VIE","523 AVENUE ROME","83500","LA SEYNE SUR MER","0699322310","","0483431722","4673A","53743902800011","0","","PARDO FABRICE","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","","",""
"ASP CONSEILS","","25 PLACE COMMERCE","87350","PANAZOL","0555029117","0677711290","","6619B","50204457100037","1 à 2","","EL YAMANI AZIZ","AGENCES IMMOBILIERES","GESTION DE PATRIMOINE","CONSEILS, ETUDES FINANCIERES","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS"
"MF2A","","21 RUE DIVISION LECLERC","91300","MASSY","0169300342","","0160139567","6622Z","80239015300012","Inconnu","amonnier91@wanadoo.fr","ARANKA FRANCOIS","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","","",""
"IMMO KIT","","31 RUE MARCELIN BERTHELOT","93300","AUBERVILLIERS","0183747243","","","6820B","88976090600012","Inconnu","contact@immokit.fr","","AGENCES IMMOBILIERES","COURTIERS D'ASSURANCES","COURTIERS FINANCIERS","",""
"LEGIRA","","200 RUE HELENE BOUCHER","95220","HERBLAY","0130400909","","","6831Z","81871622700033","Inconnu","","PORTUGAL REGIS","AGENCES IMMOBILIERES","GESTION DE PATRIMOINE","COURTIERS D'ASSURANCES","",""
"AC CONSEILS & ASSURANCES","","492 GRANDE RUE","01350","CULOZ","0681907895","","","6622Z","85270144000012","Inconnu","ac.conseils01@gmail.com","ARNOULD CAROLE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"ALLIANZ MOIOLA MIGUEL","","17 RUE VERSOIX","01210","FERNEY VOLTAIRE","0450405231","","0450401594","6622Z","80463031700043","Inconnu","","MOIOLA MIGUEL","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"ASSURANCES PIBOULEAU STEPHANE","","2 RUE BORDEAU","01630","ST GENIS POUILLY","0450421632","","0450206852","6622Z","42466706100016","Inconnu","assurances.pibouleau@wanadoo.fr","PIBOULEAU STEPHANE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","EXPERTS EN ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES D'ENTREPRISES"
"AVIVA ASSURANCES","","70 Bis AVENUE FRANCOIS PIGNIER","01000","BOURG EN BRESSE","0474232524","","","6622Z","48097107600041","Inconnu","","SEP EKRA GAVAND SOCHET","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"AVIVA ASSURANCES","","77 AVENUE MAGINOT","01000","BOURG EN BRESSE","0474231707","","","6622Z","38028084200044","1 à 2","","MOREL CHRISTIAN","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"AVIVA ASSURANCES  M THYLLYS PATRICK","","ZA AIGLETTE NORD","01170","GEX","0450417075","","0450283076","","0","Inconnu","pcb-bellegarde@aviva-assurances.com","","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"AVIVA ASSURANCES AGENT GENERAL","","2 BOULEVARD MAIL","01300","BELLEY","0479813506","","0479811977","","0","Inconnu","","","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"AVIVA JANTET  CURIAL AGENTS GENERAUX","","148 RUE ANATOLE FRANCE","01100","OYONNAX","0474734821","","","6622Z","75405878200030","0","","CURIAL STEPHANE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"AXA TERRIEN BENOIT AGENT GENERAL","","11 RUE GENEVE","01630","ST GENIS POUILLY","0450206285","","0450206491","6622Z","48958043100026","0","","TERRIEN BENOIT","AGENTS GENERAUX D'ASSURANCES","BANQUES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES"
"BLANC HUDRY","","4 PLACE VICTOR BERARD","01200","BELLEGARDE SUR VALSERINE","0450484506","","0450484916","6622Z","50427407700016","3 à 5","","HUDRY PRODONT STEPHANE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"BOUCLIER PASCAL","","24 PLACE VAUGELAS","01800","MEXIMIEUX","0474370596","","0474613705","6622Z","44095908800012","10 à 19","","BOUCLIER PASCAL","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"CABINET PERREARD CHARPY BESANCON","","11 RUE LAMARTINE","01200","BELLEGARDE SUR VALSERINE","0450560102","","0450566210","6622Z","39135236600028","6 à 9","","PERREARD BESANCON POTY BLANC CARLET BONNET-AYMARD","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"CABINET PERREARD CHARPY BESANCON","","194 AVENUE REPUBLIQUE","01630","ST GENIS POUILLY","0450401527","","","","0","","pcb-stgenis@aviva-assurances.com","","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"DIDIER GOILLOT COURTAGE D'ASSURANCES","ZONE NORELAN FACTORY PARC A","330 AVENUE SAN SEVERO","01000","BOURG EN BRESSE","0474222169","","0474452110","6622Z","32563328700025","3 à 5","contact@dgca.fr","","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"FRESSE ASSURANCES","","14 PLACE 8 MAI 1945","01500","AMBERIEU EN BUGEY","0474345173","","","6622Z","39774667800010","6 à 9","assur@groupefresse.fr","FRESSE MARC","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"MD CONSEILS ET FINANCES","","169 RUE TERREAUX","01170","GEX","0450406860","","0450407599","6622Z","44497140200029","0","","PIBOULEAU STEPHANE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","EXPERTS EN ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES"
"MMA CABINET COURENQ YVOZ AGENTS GENERAUX","","36 BOULEVARD MAIL","01300","BELLEY","0479810435","","0479812892","6622Z","49260805400010","3 à 5","","COURENQ YVOZ ASSURANCES","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","SOCIETES D'ASSURANCES",""
"OLIVIER LAVIRON ASSURANCES SARL","","8 AVENUE LOUIS JOURDAN","01000","BOURG EN BRESSE","0474235439","","","6622Z","52879088400019","1 à 2","","LAVIRON OLIVIER","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"OPTIM ASSURANCE","","14 RUE PASTEUR","01000","BOURG EN BRESSE","0474230814","","0474452586","6512Z","7793133290002","3 à 5","","","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"OPTIM'ASSURANCE","","1001 ROUTE CREUX","01750","REPLONGES","0385310122","","0385310791"," 6512","77931332900046","1 à 2","","OPTIM ASSURANCE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"ORBIS COURTAGE","","82 PLACE MAIRIE","01000","ST DENIS LES BOURG","0474514696","","","6622Z","75013412400015","0","","BARD STEPHANE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"PALOMAR JACKY","","3 RUE GENEVE","01800","MEXIMIEUX","0474610911","","0474611099","6622Z","33517531100075","1 à 2","jacky.palomar@agents.agf.fr","PALOMAR JOAQUIM","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"SWISSLIFE BLANC HUDRY AGENT GENERAL","","30 RUE AUGUSTE PICCARD","01630","ST GENIS POUILLY","0450484506","","0450484916","6622Z","50427407700016","3 à 5","","HUDRY PRODONT STEPHANE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"ALLIANZ PASCAL TORDEUX AGENT GENERAL","","28 AVENUE GEN DE GAULLE","02200","SOISSONS","0323767676","","0323767677","6622Z","39365895000067","1 à 2","","TORDEUX PASCAL","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"AP ASSURANCES","BAT NA","32 RUE GEN DE GAULLE","02260","LA CAPELLE","0323973030","","","6622Z","83080466200039","1 à 2","hf.assurances@wanadoo.fr","BUTIN AUDREY","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"ASSURANCE ALLIANZ","","65 RUE GEN DE GAULLE","02260","LA CAPELLE","0323973438","","","6622Z","53902596500028","1 à 2","","MEKKAOUI YANNICK","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"CABINET JOUIN FERTE","","5 AVENUE SOISSONS","02400","CHATEAU THIERRY","0323834820","","","8219Z","42874475900047","1 à 2","","DEMOURY LOUIS-VICTOR","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"CABINET JOUIN FERTE LECAUX DEMOURY","PARC GOURAUD","3 ALLEE INTERNAUTES","02200","SOISSONS","0323530003","","0323590203","6622Z","42284409200029","0","jouin-ferte@aviva-assurances.com","DEMOURY LOUIS-VICTOR","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","",""
"CABINET ROLAND LAMANT ASSURANCES","","48 RUE ALEXANDRE DUMAS","02600","VILLERS COTTERETS","0323960866","","0323964052","6622Z","50246841600016","0","","ROLAND BENOIT","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"EGP ASSURANCES","","6 BOULEVARD TOUR DE VILLE","02200","SOISSONS","0323764076","","0323764075","6622Z","48508483400046","6 à 9","egp@egpassurances.fr","GENIN ERIC","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","EXPERTS EN ASSURANCES","MUTUELLES","MUTUELLES D'ENTREPRISES"
"FJOUIN VFERTE LLECAUX L VDEMOURY","","19 RUE EUGENE LEDUC","02000","LAON","0323203939","","","","0","","","","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"MURAT YILDIZ","","4 RUE JEAN DE LA FONTAINE","02400","CHATEAU THIERRY","0323833891","","0978605790","6622Z","48332127900026","0","","YILDIZ MURAT","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
"SLJ CONSEIL","","21 RUE ALEXANDRE DUMAS","02600","VILLERS COTTERETS","0323962684","","0323967210","6622Z","48508483400053","Inconnu","","GENIN ERIC","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","EXPERTS EN ASSURANCES","MUTUELLES D'ASSURANCES","MUTUELLES"
"WILMOTTE MARIE PAULE","","28 AVENUE MAR JOFFRE","02500","HIRSON","0323582237","","0323583283","6622Z","38191517200013","1 à 2","","WILMOTTE MARIE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"YANN PLUCHARD","","21 RUE CHATEAU","02110","BOHAIN EN VERMANDOIS","0323071160","","","6622Z","81060510500016","1 à 2","","PLUCHARD YANN","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"A3B","","20 BOULEVARD RESISTANCE","03200","VICHY","0470586458","","","6622Z","75338938600057","Inconnu","boyer@sagesse.fr","BOYER ALEXANDRE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","SOCIETES D'ASSURANCES",""
"ALLIANZ GUICHARD JEAN YVES AGENT GENERAL","","64 PLACE REPUBLIQUE","03290","DOMPIERRE SUR BESBRE","0470341101","","","","0","","jean-yves.guichard@allianz.fr","","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","SOCIETES D'ASSURANCES","",""
"ALLIANZ HOFFMANN CHRISTOPHE","","31 RUE LAKANAL","03100","MONTLUCON","0470039811","","","6622Z","50190362900035","1 à 2","","HOFFMANN CHRISTOPHE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","MUTUELLES D'ASSURANCES","SOCIETES D'ASSURANCES",""
"EDDASSUR","","3 PLACE GARIBALDI","03000","MOULINS","0470460505","","","6622Z","42201771500018","1 à 2","","WAGNER HERVE","AGENTS GENERAUX D'ASSURANCES","COURTIERS D'ASSURANCES","","",""
