"Siren";"Siret";"Raison sociale";"Nature établissement";"Adresse normée ligne 1";"Adresse normée ligne 2";"Adresse normée ligne 3";"Adresse normée ligne 4";"Adresse normée ligne 5";"Adresse normée ligne 6";"Code commune";"Ville";"Code postal";"Département";"Code département";"Région";"Code région";"Forme juridique";"Libellé activité";"Code activité";"Métier";"Date de création";"Civilité dirigeant principal";"Nom dirigeant principal";"Prénom dirigeant principal";"Fonction dirigeant principal";"Tranche Effectif INSEE";"Tranche Effectif établissement";"Mot-clé 1";"Mot-clé 2";"Mot-clé 3";"Mot-clé 4";"Mot-clé 5";"Mot-clé 6";"Mot-clé 7";"Mot-clé 8";"Mot-clé 9";"Mot-clé 10";"Capital social";"Entreprise exportatrice";"CA réalisé à l'export";"Part du CA réalisé à l'export";"Téléphone";"Fax";"Nom de marque 1";"Classes de marque 1";"Nom de marque 2";"Classes de marque 2";"Nom de marque 3";"Classes de marque 3";"Nom de marque 4";"Classes de marque 4";"Nom de marque 5";"Classes de marque 5";"E-Commerce";"Site Web";"Facebook";"Twitter";"LinkedIn";"Email";"Score";"Type de procédure";"Date d'entrée en procédure";"Chiffre d'affaires"
"306664244";"30666424400036";"CAP MONDE CONCEPT LOISIRS";"siège";"CAP MONDE CONCEPT LOISIRS";"CAP MONDE-CADRAN SCOLAIRE";"";"11 QU CONTI";"";"78430 LOUVECIENNES";"78350";"LOUVECIENNES";"78430";"YVELINES";"78";"ILE-DE-FRANCE";"11";"Société par actions simplifiée (SAS)";"Activités des voyagistes";"7912Z";"Voyagiste, tour-opérateur";"01/1976";"M.";"MICHEL";"Jean-François Pierre Marc";"Président";"20 à 49";"20 à 49";"monde";"cap";"information";"adolescent";"voyager";"recruter";"portail";"organisateur";"masquer";"certification";"540000";"OUI";"2460967";"70.327 %";"0130821515";"";"CADRAN SCOLAIRE";"[00, 38, 39, 41, 43]";"CAP MONDE";"[00, 39, 41, 43]";"CAPMONDE";"[39, 41, 43]";"CADRAN SCOLAIRE";"[39, 41, 43]";"CAP MONDE CONCEPT-LOISIRS";"[41]";"";"capmonde.fr";"";"";"";"";"20";"";"";"3499310"
"311810824";"31181082400020";"CAPITALES TOURS";"siège";"CAPITALES TOURS";"";"";"22 RUE DU ROI DE SICILE";"";"75004 PARIS 4";"75104";"PARIS 4";"75004";"PARIS";"75";"ILE-DE-FRANCE";"11";"Autre SA à conseil d'administration";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1978";"Mme";"Ohayon";"Sarah";"Président du conseil d'administration";"20 à 49";"10 à 19";"capitale";"circuit";"voyager";"organisation";"groupe";"individuel";"destination";"depuis";"";"";"459786";"OUI";"3710784";"96.243 %";"0142712244";"";"CT CAPITALES TOURS EVENEMENTS";"[00, 39, 41, 43]";"";"";"";"";"";"";"";"";"";"capitales-tours.com";"https://www.facebook.com/capitalestours/";"";"https://www.linkedin.com/company/10341348?trk=vsrp_companies_cluster_name&trkInfo=VSRPsearchId%3A232003841449828171540%2CVSRPtargetId%3A10341348%2CVSRPcmpt%3Acompanies_cluster";"laval@capitales-tours.com";"19";"";"";"3855623"
"311810824";"31181082400038";"CAPITALES TOURS";"établissement";"CAPITALES TOURS";"";"";"13 RUE DANTON";"";"69003 LYON 3EME";"69383";"LYON 3EME";"69003";"RHONE";"69";"AUVERGNE RHONE ALPES";"84";"Autre SA à conseil d'administration";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1978";"Mme";"Ohayon";"Sarah";"Président du conseil d'administration";"20 à 49";"1 ou 2";"capitale";"circuit";"voyager";"organisation";"groupe";"individuel";"destination";"depuis";"";"";"459786";"OUI";"3710784";"96.243 %";"0478623494";"";"CT CAPITALES TOURS EVENEMENTS";"[00, 39, 41, 43]";"";"";"";"";"";"";"";"";"";"capitales-tours.com";"https://www.facebook.com/capitalestours/";"";"https://www.linkedin.com/company/10341348?trk=vsrp_companies_cluster_name&trkInfo=VSRPsearchId%3A232003841449828171540%2CVSRPtargetId%3A10341348%2CVSRPcmpt%3Acompanies_cluster";"celine@capitales-tours.com";"19";"";"";"3855623"
"311810824";"31181082400053";"CAPITALES TOURS";"établissement";"CAPITALES TOURS";"";"";"3 RUE CHARLES NODIER";"";"39000 LONS-LE-SAUNIER";"39300";"LONS-LE-SAUNIER";"39000";"JURA";"39";"BOURGOGNE FRANCHE COMTE";"27";"Autre SA à conseil d'administration";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1978";"Mme";"Ohayon";"Sarah";"Président du conseil d'administration";"20 à 49";"1 ou 2";"capitale";"circuit";"voyager";"organisation";"groupe";"individuel";"destination";"depuis";"";"";"459786";"OUI";"3710784";"96.243 %";"0384434320";"";"CT CAPITALES TOURS EVENEMENTS";"[00, 39, 41, 43]";"";"";"";"";"";"";"";"";"";"capitales-tours.com";"https://www.facebook.com/capitalestours/";"";"https://www.linkedin.com/company/10341348?trk=vsrp_companies_cluster_name&trkInfo=VSRPsearchId%3A232003841449828171540%2CVSRPtargetId%3A10341348%2CVSRPcmpt%3Acompanies_cluster";"";"19";"";"";"3855623"
"311810824";"31181082400079";"CAPITALES TOURS";"établissement";"CAPITALES TOURS";"";"";"54 RUE DU BRAVE RONDEAU";"";"17000 LA ROCHELLE";"17300";"LA ROCHELLE";"17000";"CHARENTE-MARITIME";"17";"NOUVELLE AQUITAINE";"75";"Autre SA à conseil d'administration";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1978";"Mme";"Ohayon";"Sarah";"Président du conseil d'administration";"20 à 49";"Unités non employeuses";"capitale";"circuit";"voyager";"organisation";"groupe";"individuel";"destination";"depuis";"";"";"459786";"OUI";"3710784";"96.243 %";"0546682458";"";"CT CAPITALES TOURS EVENEMENTS";"[00, 39, 41, 43]";"";"";"";"";"";"";"";"";"";"capitales-tours.com";"https://www.facebook.com/capitalestours/";"";"https://www.linkedin.com/company/10341348?trk=vsrp_companies_cluster_name&trkInfo=VSRPsearchId%3A232003841449828171540%2CVSRPtargetId%3A10341348%2CVSRPcmpt%3Acompanies_cluster";"";"19";"";"";"3855623"
"311810824";"31181082400087";"CAPITALES TOURS";"établissement";"CAPITALES TOURS";"";"";"648 CHE DE LA BRETEQUE";"";"76230 BOIS-GUILLAUME";"76108";"BOIS-GUILLAUME";"76230";"SEINE-MARITIME";"76";"NORMANDIE";"28";"Autre SA à conseil d'administration";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1978";"Mme";"Ohayon";"Sarah";"Président du conseil d'administration";"20 à 49";"1 ou 2";"capitale";"circuit";"voyager";"organisation";"groupe";"individuel";"destination";"depuis";"";"";"459786";"OUI";"3710784";"96.243 %";"0235128585";"";"CT CAPITALES TOURS EVENEMENTS";"[00, 39, 41, 43]";"";"";"";"";"";"";"";"";"";"capitales-tours.com";"https://www.facebook.com/capitalestours/";"";"https://www.linkedin.com/company/10341348?trk=vsrp_companies_cluster_name&trkInfo=VSRPsearchId%3A232003841449828171540%2CVSRPtargetId%3A10341348%2CVSRPcmpt%3Acompanies_cluster";"";"19";"";"";"3855623"
"311810824";"31181082400095";"CAPITALES TOURS";"établissement";"CAPITALES TOURS";"";"RESIDENCE MANOIR ST VINCENT";"4 RUE ALBERT BAILLY";"";"59700 MARCQ-EN-BAROEUL";"59378";"MARCQ-EN-BAROEUL";"59700";"NORD";"59";"HAUTS DE FRANCE";"32";"Autre SA à conseil d'administration";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1978";"Mme";"Ohayon";"Sarah";"Président du conseil d'administration";"20 à 49";"1 ou 2";"capitale";"circuit";"voyager";"organisation";"groupe";"individuel";"destination";"depuis";"";"";"459786";"OUI";"3710784";"96.243 %";"0962208617";"";"CT CAPITALES TOURS EVENEMENTS";"[00, 39, 41, 43]";"";"";"";"";"";"";"";"";"";"capitales-tours.com";"https://www.facebook.com/capitalestours/";"";"https://www.linkedin.com/company/10341348?trk=vsrp_companies_cluster_name&trkInfo=VSRPsearchId%3A232003841449828171540%2CVSRPtargetId%3A10341348%2CVSRPcmpt%3Acompanies_cluster";"";"19";"";"";"3855623"
"311810824";"31181082400103";"CAPITALES TOURS";"établissement";"CAPITALES TOURS";"";"CTRE COMMERCIAL CHOISY LATOUR";"CENTRE COMMERCIAL DE CHOIS";"";"33610 CESTAS";"33122";"CESTAS";"33610";"GIRONDE";"33";"NOUVELLE AQUITAINE";"75";"Autre SA à conseil d'administration";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1978";"Mme";"Ohayon";"Sarah";"Président du conseil d'administration";"20 à 49";"1 ou 2";"capitale";"circuit";"voyager";"organisation";"groupe";"individuel";"destination";"depuis";"";"";"459786";"OUI";"3710784";"96.243 %";"0142712244";"";"CT CAPITALES TOURS EVENEMENTS";"[00, 39, 41, 43]";"";"";"";"";"";"";"";"";"";"capitales-tours.com";"https://www.facebook.com/capitalestours/";"";"https://www.linkedin.com/company/10341348?trk=vsrp_companies_cluster_name&trkInfo=VSRPsearchId%3A232003841449828171540%2CVSRPtargetId%3A10341348%2CVSRPcmpt%3Acompanies_cluster";"";"19";"";"";"3855623"
"312408701";"31240870100034";"ORELIS VOYAGES";"établissement";"ORELIS VOYAGES";"ORELIS VOYAGES";"";"120 GRANDE RUE";"";"91290 ARPAJON";"91021";"ARPAJON";"91290";"ESSONNE";"91";"ILE-DE-FRANCE";"11";"Société par actions simplifiée (SAS)";"Autres services de réservation et activités connexes";"7990Z";"Autres services de réservation liés au voyage, Guide touristique, Services d'assistance aux touristes, Activité de promotion du tourisme, Office de tourisme, syndicat d'initiative";"01/1978";"M.";"BROSSIN";"Vincent Marcel René";"Président";"10 à 19";"1 ou 2";"";"";"";"";"";"";"";"";"";"";"120000";"NON";"";"";"0164921300";"";"ORELIS VOYAGES";"[16, 39, 42]";"";"";"";"";"";"";"";"";"";"http://www.selectour-afat.com/";"";"";"";"orelis-arpajon@selectourafat.com";"9";"";"";"1565816"
"312408701";"31240870100042";"ORELIS VOYAGES";"siège";"ORELIS VOYAGES";"ORELIS VOYAGES";"";"5 PL DE L'HOTEL DE VILLE";"";"91150 ETAMPES";"91223";"ETAMPES";"91150";"ESSONNE";"91";"ILE-DE-FRANCE";"11";"Société par actions simplifiée (SAS)";"Autres services de réservation et activités connexes";"7990Z";"Autres services de réservation liés au voyage, Guide touristique, Services d'assistance aux touristes, Activité de promotion du tourisme, Office de tourisme, syndicat d'initiative";"01/1978";"M.";"BROSSIN";"Vincent Marcel René";"Président";"10 à 19";"1 ou 2";"";"";"";"";"";"";"";"";"";"";"120000";"NON";"";"";"0169921818";"";"ORELIS VOYAGES";"[16, 39, 42]";"";"";"";"";"";"";"";"";"";"http://www.selectour-afat.com/";"";"";"";"orelis-etampes@selectourafat.com";"9";"";"";"1565816"
"312408701";"31240870100075";"ORELIS VOYAGES";"établissement";"ORELIS VOYAGES";"ORELIS";"";"113 RUE DE RENNES";"";"75006 PARIS 6";"75106";"PARIS 6";"75006";"PARIS";"75";"ILE-DE-FRANCE";"11";"Société par actions simplifiée (SAS)";"Autres services de réservation et activités connexes";"7990Z";"Autres services de réservation liés au voyage, Guide touristique, Services d'assistance aux touristes, Activité de promotion du tourisme, Office de tourisme, syndicat d'initiative";"01/1978";"M.";"BROSSIN";"Vincent Marcel René";"Président";"10 à 19";"3 à 5";"";"";"";"";"";"";"";"";"";"";"120000";"NON";"";"";"0145445310";"";"ORELIS VOYAGES";"[16, 39, 42]";"";"";"";"";"";"";"";"";"";"http://www.selectour-afat.com/";"";"";"";"orelis-rennes@selectour.com";"9";"";"";"1565816"
"312408701";"31240870100083";"ORELIS VOYAGES";"établissement";"ORELIS VOYAGES";"SELECTOUR";"";"9 RUE DE L ECHELLE";"";"75001 PARIS 1";"75101";"PARIS 1";"75001";"PARIS";"75";"ILE-DE-FRANCE";"11";"Société par actions simplifiée (SAS)";"Autres services de réservation et activités connexes";"7990Z";"Autres services de réservation liés au voyage, Guide touristique, Services d'assistance aux touristes, Activité de promotion du tourisme, Office de tourisme, syndicat d'initiative";"01/1978";"M.";"BROSSIN";"Vincent Marcel René";"Président";"10 à 19";"6 à 9";"";"";"";"";"";"";"";"";"";"";"120000";"NON";"";"";"0142606623";"";"ORELIS VOYAGES";"[16, 39, 42]";"";"";"";"";"";"";"";"";"";"http://www.selectour-afat.com/";"";"";"";"orelis-opera@selectourafat.com";"9";"";"";"1565816"
"312408701";"31240870100109";"ORELIS VOYAGES";"établissement";"ORELIS VOYAGES";"ORELIS";"";"31 RUE ALPHONSE PECARD";"";"91190 GIF-SUR-YVETTE";"91272";"GIF-SUR-YVETTE";"91190";"ESSONNE";"91";"ILE-DE-FRANCE";"11";"Société par actions simplifiée (SAS)";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1978";"M.";"BROSSIN";"Vincent Marcel René";"Président";"10 à 19";"1 ou 2";"";"";"";"";"";"";"";"";"";"";"120000";"NON";"";"";"0164921300";"";"ORELIS VOYAGES";"[16, 39, 42]";"";"";"";"";"";"";"";"";"";"http://www.selectour-afat.com/";"";"";"";"";"9";"";"";"1565816"
"313711392";"31371139200024";"ROGER ALBERT VOYAGES SARL";"établissement";"ROGER ALBERT VOYAGES SARL";"";"";"CENT COMMERCIAL DE CLUNY";"";"97233 SCHOELCHER";"972229";"SCHOELCHER";"97233";"MARTINIQUE";"972";"MARTINIQUE";"02";"Société à responsabilité limitée (sans autre indication)";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1978";"M.";"ALBERT";"Jean-Claude, Joseph, Emmanuel";"Gérant";"20 à 49";"0";"avantager";"carte";"voyager";"tourisme";"circuit";"gold";"remiser";"cumuler";"programmer";"gratuit";"112500";"OUI";"2900703";"84.237 %";"0596719606";"";"";"";"";"";"";"";"";"";"";"";"";"travel-plus.fr";"http://www.facebook.com/pages/Roger-Albert-Voyages/112724942105324";"http://www.twitter.com/rogeralbertvoya";"";"";"15";"";"";"3443484"
"313711392";"31371139200057";"ROGER ALBERT VOYAGES SARL";"siège";"ROGER ALBERT VOYAGES SARL";"";"";"6 RUE VICTOR HUGO";"";"97200 FORT-DE-FRANCE";"972209";"FORT-DE-FRANCE";"97200";"MARTINIQUE";"972";"MARTINIQUE";"02";"Société à responsabilité limitée (sans autre indication)";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1978";"M.";"ALBERT";"Jean-Claude, Joseph, Emmanuel";"Gérant";"20 à 49";"10 à 19";"avantager";"carte";"voyager";"tourisme";"circuit";"gold";"remiser";"cumuler";"programmer";"gratuit";"112500";"OUI";"2900703";"84.237 %";"0596580373";"";"";"";"";"";"";"";"";"";"";"";"";"travel-plus.fr";"http://www.facebook.com/pages/Roger-Albert-Voyages/112724942105324";"http://www.twitter.com/rogeralbertvoya";"";"rav.sec@rogeralbertvoyages.com";"15";"";"";"3443484"
"313711392";"31371139200065";"ROGER ALBERT VOYAGES SARL";"établissement";"ROGER ALBERT VOYAGES SARL";"";"";"25 25 RUE VICTOR HUGO";"";"97220 TRINITE";"972230";"TRINITE";"97220";"MARTINIQUE";"972";"MARTINIQUE";"02";"Société à responsabilité limitée (sans autre indication)";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1978";"M.";"ALBERT";"Jean-Claude, Joseph, Emmanuel";"Gérant";"20 à 49";"3 à 5";"avantager";"carte";"voyager";"tourisme";"circuit";"gold";"remiser";"cumuler";"programmer";"gratuit";"112500";"OUI";"2900703";"84.237 %";"0596580373";"";"";"";"";"";"";"";"";"";"";"";"";"travel-plus.fr";"http://www.facebook.com/pages/Roger-Albert-Voyages/112724942105324";"http://www.twitter.com/rogeralbertvoya";"";"";"15";"";"";"3443484"
"313711392";"31371139200073";"ROGER ALBERT VOYAGES SARL";"établissement";"ROGER ALBERT VOYAGES SARL";"";"CENTRE COMMERC ESPACE 92";"Z I DE COCOTTE CANAL";"";"97224 DUCOS";"972207";"DUCOS";"97224";"MARTINIQUE";"972";"MARTINIQUE";"02";"Société à responsabilité limitée (sans autre indication)";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1978";"M.";"ALBERT";"Jean-Claude, Joseph, Emmanuel";"Gérant";"20 à 49";"3 à 5";"avantager";"carte";"voyager";"tourisme";"circuit";"gold";"remiser";"cumuler";"programmer";"gratuit";"112500";"OUI";"2900703";"84.237 %";"0596562129";"";"";"";"";"";"";"";"";"";"";"";"";"travel-plus.fr";"http://www.facebook.com/pages/Roger-Albert-Voyages/112724942105324";"http://www.twitter.com/rogeralbertvoya";"";"";"15";"";"";"3443484"
"313711392";"31371139200107";"ROGER ALBERT VOYAGES SARL";"établissement";"ROGER ALBERT VOYAGES SARL";"ROGER ALBERT VOYAGES";"IMM LES TROPIQUES 3 ZI DE JARRY";"ZAC DE HOUELBOURG SUD";"";"97122 BAIE-MAHAULT";"971103";"BAIE-MAHAULT";"97122";"GUADELOUPE";"971";"GUADELOUPE";"01";"Société à responsabilité limitée (sans autre indication)";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1978";"M.";"ALBERT";"Jean-Claude, Joseph, Emmanuel";"Gérant";"20 à 49";"1 ou 2";"avantager";"carte";"voyager";"tourisme";"circuit";"gold";"remiser";"cumuler";"programmer";"gratuit";"112500";"OUI";"2900703";"84.237 %";"";"";"";"";"";"";"";"";"";"";"";"";"";"travel-plus.fr";"http://www.facebook.com/pages/Roger-Albert-Voyages/112724942105324";"http://www.twitter.com/rogeralbertvoya";"";"";"15";"";"";"3443484"
"313711392";"31371139200115";"ROGER ALBERT VOYAGES SARL";"établissement";"ROGER ALBERT VOYAGES SARL";"";"";"12 RUE ERNEST DEPROGE";"";"97200 FORT-DE-FRANCE";"972209";"FORT-DE-FRANCE";"97200";"MARTINIQUE";"972";"MARTINIQUE";"02";"Société à responsabilité limitée (sans autre indication)";"Activités des agences de voyage";"7911Z";"Agence de voyage";"01/1978";"M.";"ALBERT";"Jean-Claude, Joseph, Emmanuel";"Gérant";"20 à 49";"";"avantager";"carte";"voyager";"tourisme";"circuit";"gold";"remiser";"cumuler";"programmer";"gratuit";"112500";"OUI";"2900703";"84.237 %";"";"";"";"";"";"";"";"";"";"";"";"";"";"travel-plus.fr";"http://www.facebook.com/pages/Roger-Albert-Voyages/112724942105324";"http://www.twitter.com/rogeralbertvoya";"";"";"15";"";"";"3443484"
